ticker,market_cap,sector,pe_ratio,pb_ratio,roe,debt_to_equity,avg_volume,current_price,ipo_date
MSFT,2994281906176.0,Technology,25.195122,7.6569414,34.390998,31.539,30442186.0,402.91,
NVDA,4668902604800.0,Technology,47.584366,39.19971,107.35900000000001,9.102,180745911.0,191.742,
GOOGL,3762167218176.0,Communication Services,28.796295,9.053066,35.705003000000005,16.133,37797414.0,311.0,
GOOG,3766582509568.0,Communication Services,28.830091,9.063691,35.705003000000005,16.133,24207929.0,311.365,
META,1671694647296.0,Communication Services,28.145868,7.6963797,30.238,39.164,17296704.0,660.865,
AVGO,1620425048064.0,Technology,71.649895,5.7710943,31.048,166.032,31389019.0,341.77,
TSLA,1588329316352.0,Consumer Cyclical,399.32077,19.330502,4.9250003,17.763,71735413.0,423.28,
ORCL,450758082560.0,Technology,29.480263,15.044125,69.026,432.511,29168585.0,156.835,
CSCO,340169490432.0,Technology,33.241314,7.233051,22.418,63.228,22404772.0,86.095,
AMD,344277385216.0,Technology,80.904175,5.4633865,7.081999999999999,6.359,39420572.0,211.1599,
NOW,106347864064.0,Technology,60.353294,8.1420145,15.488,18.536,13609172.0,100.79,
MU,453883559936.0,Technology,38.2972,7.721623,22.554001,21.244,32144988.0,403.2695,
LRCX,296046264320.0,Technology,48.398357,29.06647,65.565,44.195,12095603.0,235.7,
INTC,238369931264.0,Technology,,2.0852997,0.022000000000000002,37.282,103127037.0,47.72,
PYPL,37589815296.0,Financial Services,7.426063,1.8247263,25.732001999999998,60.703,19663088.0,40.175,
MRVL,68284768256.0,Technology,28.350353,4.860843,18.040001,33.988,16726908.0,80.515,
MRK,296399470592.0,Healthcare,16.300137,5.6927323,37.166,79.708,14809770.0,118.665,
PFE,158796693504.0,Healthcare,20.536102,1.7112372,8.5760005,66.531,53895822.0,27.9291,
BMY,123783970816.0,Healthcare,17.5737,6.673068,40.333998,274.414,14727657.0,60.805,
MRNA,15484813312.0,Healthcare,,1.6608038,-29.317,7.867,11554213.0,39.6301,
BSX,110210621440.0,Healthcare,38.3067,4.7088456,12.675,50.973,13063221.0,74.315,
AMZN,2185500950528.0,Consumer Cyclical,28.434078,5.3147807,22.286,43.435,45495560.0,203.588,
WMT,1032324710400.0,Consumer Defensive,45.272728,10.741662,23.660999999999998,66.747,30205218.0,129.48,
PG,376050483200.0,Consumer Defensive,23.876854,7.1546702,31.562,68.719,10938554.0,160.93,
KO,339301105664.0,Consumer Defensive,25.93421,10.542925,43.323,132.726,17746255.0,78.84,
NKE,91754160128.0,Consumer Cyclical,36.245613,6.5118723,17.950001,80.099,18011918.0,61.98,
CMG,49175519232.0,Consumer Cyclical,32.622807,17.138248,47.355000000000004,179.319,19114477.0,37.19,
CAG,9514768384.0,Consumer Defensive,,1.1760184,-1.16,94.229,11265372.0,19.89,
CSX,77003964416.0,Industrials,26.82143,5.850567,22.511,143.412,13645760.0,41.305,
XOM,657182031872.0,Energy,23.258957,2.5106738,11.0810004,16.329,17930229.0,155.835,
CVX,370710118400.0,Energy,27.966063,1.9527234,7.16,21.239,10541803.0,185.415,
SLB,77121724416.0,Energy,21.94681,2.9538949,13.904001,45.975,17594742.0,51.575,
OXY,46851682304.0,Energy,34.96691,1.6747667,5.955,62.221,10111801.0,47.555,
KMI,70046580736.0,Energy,22.981752,2.2481258,9.826,98.626,13743908.0,31.485,
HAL,29557925888.0,Energy,23.413332,2.8033204,12.274000000000001,79.162,12536093.0,35.12,
PR,12816410624.0,Energy,15.361607,1.2768089,8.988999999999999,32.867,10549781.0,17.205,
CVE,41104715776.0,Energy,17.02344,1.8443046,10.836001000000001,35.324,11788614.0,21.79,
NFLX,337718018048.0,Communication Services,31.468378,12.629283,42.762001999999995,63.782,46624816.0,79.615,
DIS,192944504832.0,Communication Services,16.047197,1.7812997,12.024,40.909,12210931.0,108.8,
CMCSA,119355768832.0,Communication Services,6.076995,1.2182921,21.41,107.863,37648406.0,32.755,
T,200950448128.0,Communication Services,9.324013,1.8047242,18.805,124.179,42038086.0,28.345,
VZ,205810679808.0,Communication Services,12.020936,1.9702475,17.069000000000003,171.781,29788514.0,48.805,
WBD,69586796544.0,Communication Services,147.71053,1.9300598,0.9690000000000001,89.857,42039819.0,28.065,
VICI,31294797824.0,Real Estate,11.13308,1.1308513,10.357001,62.925,12523645.0,29.28,
FCX,93163175936.0,Basic Materials,42.684208,4.806282,13.946,33.768,18972326.0,64.88,
DOW,24471498752.0,Basic Materials,,1.5280702,-13.818,111.871,12531777.0,34.105,
